trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.rt,key_resp_example.rt in ms,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,9.0,f,021_o_f_s_a.jpg,sad,a,17,1,159.99340890000008,160.28940148000012,160.31255320000014,160.44948678000011,160.45271449999996,160.49097277999996,160.4941556000001,161.27051967999998,a,1,0.7668888000000607,766.8888000000607,160.4941556000001,161.27051967999998,161.28118059999997,163.23110208,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,11.0,f,030_o_f_h_a.jpg,happy,d,3,1,163.23638090000009,163.53111527999997,163.74101489999998,163.7680296799999,163.77077899999995,163.80784848000005,163.81090339999992,164.41944418,d,1,0.5942241000000195,594.2241000000195,163.81090339999992,164.41944418,164.42863949999992,166.28939147999992,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,4.0,m,016_y_m_h_a.jpg,happy,d,17,1,166.2898662,166.58961758000007,166.61515609999992,166.74952527999992,166.75405569999998,166.79457997999995,166.7997941000001,167.20841317999995,d,1,0.39720779999993283,397.20779999993283,166.7997941000001,167.20841317999995,167.21997050000004,168.63132478000009,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,1.0,m,004_o_m_s_a.jpg,sad,a,17,1,168.63697630000001,168.93134768000002,168.95996000000014,169.09128587999996,169.09599090000006,169.13570258000001,169.14017439999998,170.1566158800001,a,1,1.0086679000000913,1008.6679000000913,169.14017439999998,170.1566158800001,170.16147210000008,171.68136378000005,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4.0,m,016_y_m_h_a.jpg,happy,d,17,1,171.6855746000001,171.98134318000004,172.00617890000012,172.14126428000006,172.14462030000004,172.18260497999992,172.18569780000007,172.61169777999996,d,1,0.4113724999999704,411.3724999999704,172.18569780000007,172.61169777999996,172.62210800000003,174.34811327999998,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,7.0,f,012_o_f_s_a.jpg,sad,a,3,1,174.35365780000006,174.64801858000007,174.68219520000002,174.70658838000006,174.7098949000001,174.74745488000005,174.75027079999995,175.42470907999993,a,1,0.662629700000025,662.629700000025,174.75027079999995,175.42470907999993,175.4329795000001,177.17305237999992,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,8.0,f,019_m_f_n_a.jpg,neutral,s,3,1,177.17630880000002,177.47294478,177.73146450000013,177.7572978800001,177.75787059999993,177.79151868000005,177.7921999,178.91182668000008,s,1,1.1087735000000976,1108.7735000000976,177.7921999,178.91182668000008,178.91935200000012,180.61486878000002,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,2.0,m,008_y_m_h_a.jpg,happy,d,3,1,180.61908749999998,180.91486738,180.94579610000005,180.96768068000003,180.96855359999995,181.00771168000003,181.00869680000005,181.64770348,d,1,0.628272700000025,628.272700000025,181.00869680000005,181.64770348,181.65499290000002,183.48162077999993,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,12.0,f,040_y_f_n_a.jpg,neutral,s,3,1,183.4871697000001,183.78154018000006,184.01372730000003,184.03911108000008,184.0425577000001,184.0834506799999,184.08853980000004,184.93461668000006,s,1,0.8286656000000221,828.6656000000221,184.08853980000004,184.93461668000006,184.9458889,186.53997208000007,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,11.0,f,030_o_f_n_a.jpg,neutral,s,3,1,186.54290570000012,186.83992818,187.04622919999997,187.07205457999996,187.07299639999997,187.10858338,187.10946779999995,187.77940177999992,s,1,0.6559861000000637,655.9861000000637,187.10946779999995,187.77940177999992,187.7907358,189.12333078000003,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,8.0,f,019_m_f_h_a.jpg,happy,d,17,1,189.1266075000001,189.42336238000004,189.44359970000005,189.57497678000001,189.57866609999996,189.61945368000008,189.62392169999998,190.02365718000007,d,1,0.38918710000007195,389.18710000007195,189.62392169999998,190.02365718000007,190.03138130000002,191.3900868800001,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,8.0,f,019_m_f_n_a.jpg,neutral,s,3,1,191.39442540000005,191.69005818000002,191.93029769999998,191.95699437999994,191.96070129999998,191.99919668000004,192.00438200000008,192.94232168000005,s,1,0.9213801999999305,921.3801999999305,192.00438200000008,192.94232168000005,192.94496619999995,194.72352318,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,12.0,f,040_y_f_n_a.jpg,neutral,s,3,1,194.72905519999995,195.02348918000004,195.24560050000014,195.27058478,195.2706161000001,195.3079872800001,195.30931269999996,195.89852928000002,s,1,0.5756569999998646,575.6569999998646,195.30931269999996,195.89852928000002,195.9051197000001,197.40684127999995,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,9.0,f,021_o_f_h_a.jpg,happy,d,3,1,197.4101313000001,197.70673808000012,197.92470679999997,197.9515882800001,197.9517389,197.98608078000004,197.98662349999995,198.86654638000002,d,1,0.8662724000000708,866.2724000000708,197.98662349999995,198.86654638000002,198.87262340000007,200.28191018000004,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,2.0,m,008_y_m_n_a.jpg,neutral,s,17,1,200.2872843,200.58187128000006,200.82802160000006,200.98534098000002,200.98921960000007,201.0303025800001,201.03529240000012,201.7878662800001,s,1,0.737659800000074,737.659800000074,201.03529240000012,201.7878662800001,201.79449339999996,203.14031958000007,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,10.0,f,028_y_f_n_a.jpg,neutral,s,3,1,203.14577929999996,203.4403064800001,203.63479499999994,203.66046737999997,203.66073030000007,203.69464248000006,203.69513849999998,204.30882917999995,s,1,0.605699500000128,605.699500000128,203.69513849999998,204.30882917999995,204.31651669999997,205.54870617999993,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,12.0,f,040_y_f_h_a.jpg,happy,d,17,1,205.55436650000001,205.84873947999992,205.86658379999994,206.00057807999994,206.00433950000001,206.04529778000003,206.05044150000003,206.43704247999992,d,1,0.37863609999999426,378.63609999999426,206.05044150000003,206.43704247999992,206.4474212,207.74866887999994,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,2.0,m,008_y_m_n_a.jpg,neutral,s,3,1,207.75422959999992,208.04877237999992,208.2915766000001,208.31727797999994,208.31819410000003,208.35378738000006,208.35373400000003,209.14314097999997,s,1,0.7791408000000501,779.1408000000501,208.35373400000003,209.14314097999997,209.1505400000001,210.61537317999998,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,9.0,f,021_o_f_n_a.jpg,neutral,s,3,1,210.61963500000002,210.91539037999993,211.1285001000001,211.15414467999992,211.15418019999993,211.19156597999992,211.1917324000001,211.8951813799999,s,1,0.6931870999999319,693.1870999999319,211.1917324000001,211.8951813799999,211.90266680000013,213.18216888000003,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,4.0,m,016_y_m_n_a.jpg,neutral,s,17,1,213.18613490000007,213.48216868000006,213.72408719999999,213.8808908799999,213.8858897,213.92614348000004,213.93132190000006,214.30386197999994,s,1,0.3615983999998207,361.5983999998207,213.93132190000006,214.30386197999994,214.31237090000013,215.74046818000008,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,6.0,m,033_o_m_s_a.jpg,sad,a,3,1,215.74451820000013,216.04056278000004,216.07046749999995,216.09361338000005,216.0952933000001,216.13340607999996,216.13469209999994,217.04299048000004,a,1,0.8943484999999782,894.3484999999782,216.13469209999994,217.04299048000004,217.04950080000003,218.04881287999999,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,61,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,7.0,f,012_o_f_n_a.jpg,neutral,s,3,1,218.05183720000014,218.34886647999994,218.57703089999995,218.60446958000009,218.60515720000012,218.6417756800001,218.64304570000013,219.47613307999993,a,0,0.8259573000000273,825.9573000000273,218.64304570000013,219.47613307999993,219.48042450000003,220.7489442799999,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,62,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,2.0,m,008_y_m_h_a.jpg,happy,d,17,1,220.7529575000001,221.04895828000005,221.07095389999995,221.2089229800001,221.21246900000006,221.25076398000007,221.2542413000001,221.81931097999993,d,1,0.5508285000000797,550.8285000000797,221.2542413000001,221.81931097999993,221.82914699999992,223.13228107999996,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,63,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,10.0,f,028_y_f_h_a.jpg,happy,d,3,1,223.13541409999993,223.43237457999996,223.45361759999992,223.47618587999997,223.47637310000005,223.5113395800001,223.5112670000001,224.21186848,d,1,0.6936200000000099,693.6200000000099,223.5112670000001,224.21186848,224.21947169999999,225.44069538000005,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,64,0,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4.0,m,016_y_m_h_a.jpg,happy,d,3,1,225.44640559999993,225.74080228,225.76409179999996,225.78664767999996,225.78760119999993,225.82519408000005,225.82503399999996,226.53286518000002,d,1,0.6999004000001605,699.9004000001605,225.82503399999996,226.53286518000002,226.53877239999997,228.32400858000003,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,65,0,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,9.0,f,021_o_f_s_a.jpg,sad,a,3,1,228.32677639999997,228.62406697999992,228.63754919999997,228.65929587999992,228.66012419999993,228.70025538000002,228.70174939999993,229.90006418000004,a,1,1.1913024000000405,1191.3024000000405,228.70174939999993,229.90006418000004,229.90856570000005,231.30745488,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,66,0,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,7.0,f,012_o_f_h_a.jpg,happy,d,3,1,231.31150419999994,231.60748448,231.62747839999997,231.6505807799999,231.6511977,231.6854092799999,231.68694129999994,232.26014497999992,d,1,0.5660456000000522,566.0456000000522,231.68694129999994,232.26014497999992,232.26674460000004,233.3408523800001,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,67,0,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,9.0,f,021_o_f_h_a.jpg,happy,d,17,1,233.3460136000001,233.64091948000006,233.8596215,234.02088627999998,234.02444910000008,234.0622103800001,234.06626699999993,234.44508698,d,1,0.3704519000000346,370.4519000000346,234.06626699999993,234.44508698,234.44795670000008,235.51593008000006,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,68,0,68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,8.0,f,019_m_f_h_a.jpg,happy,d,3,1,235.51978439999993,235.81583227999997,235.8296061000001,235.85169347999997,235.85229870000012,235.8920654799999,235.8935438000001,236.34243497999998,d,1,0.4396190999998453,439.6190999998453,235.8935438000001,236.34243497999998,236.34992590000002,237.89924818000006,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,69,0,69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,9.0,f,021_o_f_s_a.jpg,sad,a,17,1,237.9022691,238.19926768000002,238.21371019999992,238.3509054799999,238.35450229999992,238.39531267999993,238.399858,239.1205322800001,a,1,0.7090679999998883,709.0679999998883,238.399858,239.1205322800001,239.1289173,240.9575557800001,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,70,0,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,2.0,m,008_y_m_h_a.jpg,happy,d,17,1,240.96061280000004,241.25766657999995,241.27320809999992,241.40928888000005,241.41131240000004,241.45043838000012,241.45351060000007,241.95674308,d,1,0.48747180000009394,487.47180000009394,241.45351060000007,241.95674308,241.96498670000005,243.89940528000008,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,71,0,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,1.0,m,004_o_m_h_a.jpg,happy,d,17,1,243.90341450000005,244.19936318000006,244.62569989999997,244.7813301799999,244.78612569999996,244.82610868000003,244.83134900000005,245.23838937999992,d,1,0.3976689000000988,397.6689000000988,244.83134900000005,245.23838937999992,245.25010049999992,246.27452108000008,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,72,0,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,11.0,f,030_o_f_h_a.jpg,happy,d,3,1,246.2787393000001,246.57440238,246.7671812000001,246.7941734799999,246.7949013,246.83017457999992,246.83013570000003,247.47615287999994,d,1,0.6307636999999886,630.7636999999886,246.83013570000003,247.47615287999994,247.48192340000014,248.89957378000005,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,73,0,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,8.0,f,019_m_f_s_a.jpg,sad,a,3,1,248.90537500000005,249.1995913800001,249.4445343,249.47071567999998,249.4713018,249.50899997999997,249.51037199999996,250.10627057999997,a,1,0.5825485999998818,582.5485999998818,249.51037199999996,250.10627057999997,250.1162144,251.64961037999998,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,74,0,74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,5.0,m,027_o_m_h_a.jpg,happy,d,3,1,251.65518240000006,251.94964488000002,252.16740890000005,252.19583108000003,252.19932519999998,252.24020147999997,252.24549980000006,252.82842578000006,d,1,0.5676449000000048,567.6449000000048,252.24549980000006,252.82842578000006,252.83919680000008,254.61619547999996,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,75,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,8.0,f,019_m_f_s_a.jpg,sad,a,3,1,254.62003830000003,254.91621258000006,255.16290800000002,255.1886790799999,255.18924770000012,255.22567028,255.2268368,255.86714808000008,a,1,0.6259333000000424,625.9333000000424,255.2268368,255.86714808000008,255.87314459999993,257.0659808800001,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,76,0,76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,7.0,f,012_o_f_n_a.jpg,neutral,s,3,1,257.0662846,257.36632708,257.5829507000001,257.60994968,257.6133285000001,257.6509160800001,257.65536410000004,258.4511422800001,a,0,0.7816012000000683,781.6012000000683,257.65536410000004,258.4511422800001,258.46169009999994,260.1246839800001,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,77,0,77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,6.0,m,033_o_m_s_a.jpg,sad,a,17,1,260.1287794,260.42475258000013,260.4486654,260.58466378,260.58801429999994,260.62596798000004,260.63015799999994,262.44666908,None,0,,,260.63015799999994,262.44666908,262.4543992000001,263.7664700800001,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,78,0,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,1.0,m,004_o_m_h_a.jpg,happy,d,17,1,263.7705863000001,264.06641988,264.27306169999997,264.43009357999995,264.4352192000001,264.47556938,264.4805891000001,264.87908098,d,1,0.38834989999986647,388.34989999986647,264.4805891000001,264.87908098,264.89084460000004,266.46654488000013,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,79,0,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,5.0,m,027_o_m_s_a.jpg,sad,a,17,1,266.47053359999995,266.76646628000003,266.7769766000001,266.9097758800001,266.91214059999993,266.95105298,266.95396589999996,267.60053388000006,a,1,0.6349555000001601,634.9555000001601,266.95396589999996,267.60053388000006,267.60931890000006,269.1999421800001,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,80,0,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,9.0,f,021_o_f_s_a.jpg,sad,a,17,1,269.20530770000005,269.4998811800001,269.52206380000007,269.65986238000005,269.6641178,269.70491008,269.7102046,270.94701667999993,a,1,1.2230125999999473,1223.0125999999473,269.7102046,270.94701667999993,270.9577703,272.1748204800001,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,81,0,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,5.0,m,027_o_m_s_a.jpg,sad,a,3,1,272.17778279999993,272.47501207999994,272.49862499999995,272.5203386800001,272.52102979999995,272.5594925800001,272.5607666000001,273.47276508000004,a,1,0.9002146999998786,900.2146999998786,272.5607666000001,273.47276508000004,273.4838211000001,274.81662817999995,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,82,0,82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,7.0,f,012_o_f_h_a.jpg,happy,d,3,1,274.82068389999995,275.1167347800001,275.1370584000001,275.15954378000015,275.1601068,275.19496978000006,275.19501749999995,275.81225828000015,d,1,0.6099364999997761,609.9364999997761,275.19501749999995,275.81225828000015,275.81948839999995,276.84143498000003,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,83,0,83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,3.0,m,013_y_m_s_a.jpg,sad,a,3,1,276.8418065000001,277.14165288000004,277.16549239999995,277.18776707999996,277.1883067000001,277.22620238000013,277.22782559999996,277.77900107999994,s,0,0.5370763000000807,537.0763000000807,277.22782559999996,277.77900107999994,277.7815926999999,279.51675167999997,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,84,0,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,5.0,m,027_o_m_s_a.jpg,sad,a,3,1,279.5209969,279.81676117999996,279.8370264,279.85986677999995,279.86048099999994,279.89470888000005,279.89445290000003,280.92088118000015,s,0,1.0145838000000822,1014.5838000000822,279.89445290000003,280.92088118000015,280.9333931000001,281.9835169800001,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,85,0,85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,4.0,m,016_y_m_s_a.jpg,sad,a,3,1,281.98660459999996,282.2835694800001,282.3050058000001,282.32707247999997,282.3278941000001,282.3679357799999,282.3680641000001,283.59644308,a,1,1.2209226999998464,1220.9226999998464,282.3680641000001,283.59644308,283.60949359999995,285.55024617999993,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,86,0,86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,5.0,m,027_o_m_n_a.jpg,neutral,s,3,1,285.5555422,285.85021478,286.07921950000014,286.10576448000006,286.1057005,286.14307157999997,286.1429515,286.95898148000015,s,1,0.8062264000000141,806.2264000000141,286.1429515,286.95898148000015,286.9618749000001,288.40030398,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,87,0,87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,3.0,m,013_y_m_h_a.jpg,happy,d,3,1,288.40565830000014,288.70031438,288.93394149999995,288.9599080800001,288.9599062,288.99531858,288.9948466999999,289.53005218,d,1,0.5219403999999486,521.9403999999486,288.9948466999999,289.53005218,289.53573640000013,291.1086430800001,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,88,0,88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,5.0,m,027_o_m_s_a.jpg,sad,a,3,1,291.1146185,291.40862547999996,291.4295022000001,291.4526372800001,291.45344969999996,291.48744778000014,291.48701140000003,292.20537788,s,0,0.7099439000000984,709.9439000000984,291.48701140000003,292.20537788,292.2175277000001,294.02535478000004,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,89,0,89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,5.0,m,027_o_m_s_a.jpg,sad,a,17,1,294.029348,294.3253290800001,294.3454919999999,294.47745037999994,294.4811902000001,294.5195942800001,294.52299029999995,295.00947528000006,s,0,0.47413559999995414,474.13559999995414,294.52299029999995,295.00947528000006,295.02044309999997,296.1170935800001,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
